name,roll_number,date_of_birth,gender,school_id,class_name,family_income,family_size,parents_education,has_digital_device,caste,religion
Student_1,S100001,2015-02-01,F,1,7,low,4,illiterate,True,,Sikh
Student_2,S100002,2005-01-03,M,1,7,high,2,college,True,,Sikh
Student_3,S100003,2008-08-19,F,1,12,low,4,higher_secondary,False,OBC,Muslim
Student_4,S100004,2008-06-04,M,1,9,low,7,secondary,False,SC,Sikh
Student_5,S100005,2013-02-13,M,1,10,medium,7,college,True,SC,Hindu
Student_6,S100006,2015-04-25,F,1,6,low,3,higher_secondary,False,General,Christian
Student_7,S100007,2007-06-12,M,1,11,medium,3,college,True,,Muslim
Student_8,S100008,2007-08-13,F,1,11,high,10,primary,False,SC,Muslim
Student_9,S100009,2005-06-13,F,1,6,low,7,primary,False,General,Sikh
Student_10,S100010,2007-05-05,M,1,11,high,10,secondary,False,,Sikh
Student_11,S100011,2010-04-05,F,1,6,low,3,primary,True,General,Buddhist
Student_12,S100012,2006-07-13,F,1,10,medium,10,illiterate,True,,Christian
Student_13,S100013,2015-06-04,F,1,9,low,9,illiterate,False,,Muslim
Student_14,S100014,2013-02-28,F,1,12,high,10,college,True,ST,Christian
Student_15,S100015,2007-09-25,M,1,10,medium,9,illiterate,True,OBC,Christian
Student_16,S100016,2008-01-08,M,1,6,high,9,illiterate,True,ST,Sikh
Student_17,S100017,2013-03-09,F,1,7,high,5,secondary,False,OBC,Sikh
Student_18,S100018,2013-08-04,M,1,7,low,7,illiterate,True,,Muslim
Student_19,S100019,2005-02-23,M,1,7,low,2,secondary,True,,Muslim
Student_20,S100020,2009-11-16,M,1,10,low,9,primary,False,General,Muslim
Student_21,S100021,2006-02-22,F,1,8,medium,8,higher_secondary,True,SC,Hindu
Student_22,S100022,2011-12-11,M,1,7,low,5,college,False,ST,Sikh
Student_23,S100023,2007-05-15,M,1,12,low,9,college,True,SC,Buddhist
Student_24,S100024,2005-02-25,M,1,7,medium,9,higher_secondary,True,General,Hindu
Student_25,S100025,2007-07-01,F,1,8,medium,6,higher_secondary,False,ST,Muslim
Student_26,S100026,2009-04-02,M,1,11,medium,2,illiterate,False,,Buddhist
Student_27,S100027,2007-01-17,M,1,12,low,3,college,True,ST,Sikh
Student_28,S100028,2006-10-08,M,1,10,low,8,college,False,OBC,Muslim
Student_29,S100029,2015-12-11,M,1,8,medium,4,secondary,False,OBC,Hindu
Student_30,S100030,2005-08-20,M,1,6,high,5,college,False,ST,Christian
